date,region,category,revenue
2025-04-14,East,Office Supplies,162.34
2025-04-15,East,Electronics,3271.09
2025-04-17,East,Furniture,2073.19
2025-04-18,East,Electronics,4274.04
2025-04-19,South,Electronics,3091.71
2025-04-19,North,Electronics,2789.25
2025-04-22,South,Accessories,195.91
2025-04-23,East,Furniture,804.67
2025-04-24,West,Furniture,660.81
2025-04-24,South,Office Supplies,204.97
2025-04-25,North,Electronics,2495.66
2025-04-28,South,Electronics,4354.88
2025-04-28,East,Accessories,300.9
2025-05-01,South,Office Supplies,480.31
2025-05-03,East,Office Supplies,402.81
2025-05-07,South,Electronics,2108.61
2025-05-07,West,Office Supplies,203.23
2025-05-08,South,Furniture,1974.69
2025-05-09,South,Office Supplies,71.04
2025-05-10,East,Electronics,4126.02
2025-05-13,East,Electronics,1226.76
2025-05-14,South,Office Supplies,137.56
2025-05-15,West,Electronics,1213.93
2025-05-15,East,Office Supplies,501.3
2025-05-18,West,Furniture,2058.95
2025-05-19,South,Accessories,201.96
2025-05-23,South,Electronics,3888.0
2025-05-23,North,Accessories,797.73
2025-05-25,South,Office Supplies,138.87
2025-05-27,East,Electronics,813.12
2025-05-28,North,Electronics,3146.85
2025-05-28,West,Furniture,679.19
2025-05-28,South,Furniture,344.96
2025-06-01,East,Office Supplies,165.6
2025-06-03,East,Office Supplies,414.86
2025-06-04,East,Office Supplies,416.79
2025-06-06,East,Accessories,538.35
2025-06-07,West,Accessories,641.85
2025-06-07,South,Electronics,970.99
2025-06-08,South,Electronics,4102.84
2025-06-11,West,Electronics,2225.22
2025-06-11,West,Office Supplies,354.93
2025-06-14,North,Furniture,992.02
2025-06-16,North,Accessories,431.55
2025-06-19,South,Office Supplies,74.41
2025-06-20,West,Office Supplies,450.7
2025-06-21,South,Accessories,495.5
2025-06-22,South,Accessories,734.99
2025-06-22,East,Electronics,3828.17
2025-06-25,South,Office Supplies,173.55
2025-06-26,East,Accessories,453.43
2025-06-26,South,Electronics,1850.01
2025-06-28,North,Accessories,275.07
2025-07-05,North,Accessories,573.51
2025-07-05,West,Furniture,395.54
2025-07-07,West,Accessories,823.87
2025-07-08,East,Accessories,601.4
2025-07-08,East,Office Supplies,225.84
2025-07-09,West,Electronics,3440.12
2025-07-09,West,Accessories,123.22
2025-07-11,West,Furniture,1896.96
2025-07-12,East,Accessories,782.76
2025-07-13,South,Furniture,422.03
2025-07-14,East,Accessories,432.62
2025-07-15,East,Accessories,590.12
2025-07-18,North,Furniture,586.58
2025-07-19,North,Accessories,481.58
2025-07-22,North,Electronics,3178.17
2025-07-24,West,Accessories,817.77
2025-07-24,West,Accessories,307.35
2025-07-26,West,Electronics,2862.4
2025-07-27,West,Furniture,1227.64
2025-07-28,North,Accessories,206.67
2025-08-04,North,Office Supplies,366.69
2025-08-04,West,Office Supplies,399.57
2025-08-07,North,Furniture,753.24
2025-08-09,East,Furniture,1451.2
2025-08-10,North,Electronics,2084.65
2025-08-11,West,Office Supplies,463.61
2025-08-11,North,Accessories,757.86
2025-08-12,South,Electronics,3690.56
2025-08-13,East,Furniture,1163.93
2025-08-13,West,Furniture,444.39
2025-08-14,East,Electronics,2672.05
2025-08-16,North,Electronics,4499.66
2025-08-16,North,Furniture,1183.56
2025-08-21,North,Electronics,4313.56
2025-08-23,South,Electronics,3379.61
2025-08-24,North,Furniture,2132.97
2025-08-24,East,Accessories,471.9
2025-08-27,West,Office Supplies,509.2
2025-08-27,West,Furniture,1127.43
2025-08-27,East,Office Supplies,518.44
2025-09-04,South,Office Supplies,115.76
2025-09-05,East,Electronics,4404.89
2025-09-06,East,Electronics,3419.67
2025-09-07,North,Furniture,1668.14
2025-09-08,West,Accessories,369.12
2025-09-08,West,Furniture,881.79
2025-09-12,East,Office Supplies,203.81
2025-09-12,West,Office Supplies,243.5
2025-09-15,East,Office Supplies,188.27
2025-09-16,East,Furniture,1226.34
2025-09-16,South,Accessories,616.72
2025-09-16,West,Electronics,1144.3
2025-09-16,East,Office Supplies,589.28
2025-09-18,South,Furniture,711.13
2025-09-18,East,Furniture,1511.95
2025-09-19,East,Accessories,542.78
2025-09-20,East,Electronics,2711.52
2025-09-25,West,Electronics,4029.06
2025-09-27,North,Office Supplies,534.9
2025-09-27,South,Office Supplies,175.12
2025-10-02,North,Furniture,1488.48
2025-10-04,West,Furniture,1773.82
2025-10-08,East,Furniture,1107.76
2025-10-09,North,Furniture,755.74
2025-10-10,East,Accessories,156.94
2025-10-11,South,Electronics,1734.17
2025-10-13,West,Electronics,2934.98
2025-10-13,West,Accessories,337.88
2025-10-15,West,Office Supplies,67.95
2025-10-15,East,Accessories,854.14
2025-10-17,West,Accessories,164.35
2025-10-18,North,Furniture,305.08
2025-10-18,South,Furniture,2025.98
2025-10-19,East,Accessories,482.97
2025-10-19,East,Electronics,4477.5
2025-10-19,West,Office Supplies,362.75
2025-10-22,North,Furniture,583.48
2025-10-26,East,Office Supplies,291.53
2025-10-27,South,Electronics,1020.66
2025-10-28,West,Electronics,3841.83
2025-11-01,North,Furniture,2872.3
2025-11-01,West,Electronics,2202.38
2025-11-02,West,Office Supplies,515.76
2025-11-05,East,Accessories,1086.31
2025-11-07,East,Accessories,810.44
2025-11-09,East,Electronics,5926.07
2025-11-13,North,Accessories,581.31
2025-11-14,West,Electronics,3427.7
2025-11-14,East,Office Supplies,565.07
2025-11-15,East,Furniture,2962.17
2025-11-16,East,Accessories,1013.65
2025-11-16,North,Electronics,5940.87
2025-11-18,North,Accessories,230.1
2025-11-20,South,Furniture,1202.07
2025-11-21,South,Accessories,1142.27
2025-11-25,South,Accessories,695.48
2025-11-25,North,Furniture,1090.0
2025-11-27,North,Office Supplies,495.36
2025-11-27,North,Accessories,1157.83
2025-11-28,South,Office Supplies,373.15
2025-12-05,East,Electronics,5446.58
2025-12-05,West,Furniture,596.93
2025-12-08,West,Electronics,2669.29
2025-12-08,East,Furniture,2320.46
2025-12-09,West,Office Supplies,761.18
2025-12-10,East,Accessories,1036.5
2025-12-10,West,Furniture,1550.39
2025-12-13,South,Furniture,2621.23
2025-12-13,North,Office Supplies,700.36
2025-12-15,North,Accessories,151.58
2025-12-16,South,Accessories,730.37
2025-12-16,East,Office Supplies,477.3
2025-12-16,West,Accessories,1202.49
2025-12-17,East,Electronics,2492.78
2025-12-18,West,Accessories,1142.48
2025-12-25,West,Electronics,4164.21
2025-12-26,South,Accessories,1177.01
2025-12-26,East,Office Supplies,530.27
2025-12-28,South,Furniture,1871.66
2025-12-28,West,Office Supplies,532.9
